"Commodity-wise, Market-wise Daily Report (Weighted Average) on: 18-Mar-2026"

Market Center,Arrivals,Unit of Arrivals,Variety,Minimum Price,Maximum Price,Modal Price,Unit of Price,Grade
Kareli APMC,4.5,Metric Tonnes,Puspa (MR 301),4300.0,4300.0,4300.0,Rs./Quintal,FAQ
Katangi APMC,10.281,Metric Tonnes,Common,1880.0,1892.0,1892.0,Rs./Quintal,Non-FAQ
Katni APMC,52.94400000000001,Metric Tonnes,Dhan,1318.0,2300.0,2000.0,Rs./Quintal,Non-FAQ
Lalbarra APMC,30.84,Metric Tonnes,Paddy,1960.0,1960.0,1960.0,Rs./Quintal,FAQ
Mandla APMC,108.5,Metric Tonnes,Paddy,1800.0,1935.0,1930.0,Rs./Quintal,Non-FAQ
Nainpur APMC,173.59500000000003,Metric Tonnes,Common,1715.0,2010.0,1730.0,Rs./Quintal,Non-FAQ
Nainpur APMC,54.18,Metric Tonnes,Paddy,1805.0,1920.0,1920.0,Rs./Quintal,Non-FAQ
Obedullaganj APMC,108.83800000000002,Metric Tonnes,Puspa (MR 301),3795.0,4235.0,4105.0,Rs./Quintal,FAQ
Obedullaganj APMC,7.0,Metric Tonnes,Dhan,3800.0,3805.0,3805.0,Rs./Quintal,FAQ
Paatan APMC,13.100000000000001,Metric Tonnes,Paddy,3817.0,3817.0,3817.0,Rs./Quintal,FAQ
Pipariya APMC,907.4870000000001,Metric Tonnes,Puspa (MR 301),2000.0,4300.0,4100.0,Rs./Quintal,FAQ
Raisen APMC,424.01400000000007,Metric Tonnes,Basmati,3070.0,4516.0,4200.0,Rs./Quintal,FAQ
Raisen APMC,36.660000000000004,Metric Tonnes,Dhan,3918.0,4100.0,4100.0,Rs./Quintal,FAQ
Sehora APMC,0.48,Metric Tonnes,Common,1825.0,1825.0,1825.0,Rs./Quintal,FAQ
Semriharchand APMC,29.8,Metric Tonnes,Paddy,4000.0,4000.0,4000.0,Rs./Quintal,FAQ
Semriharchand APMC,159.48000000000002,Metric Tonnes,Basmati,1100.0,4390.0,4250.0,Rs./Quintal,FAQ
Shahpura(Jabalpur) APMC,22.080000000000002,Metric Tonnes,Paddy,2974.5,2974.5,2974.5,Rs./Quintal,FAQ
Sheopurbadod APMC,42.076,Metric Tonnes,Dhan,2300.0,3950.0,3950.0,Rs./Quintal,FAQ
Sheopurkalan APMC,31.099000000000004,Metric Tonnes,Paddy,3360.0,4195.0,4195.0,Rs./Quintal,FAQ
Sheopurkalan APMC,22.553,Metric Tonnes,Dhan,3925.0,4350.0,4350.0,Rs./Quintal,FAQ
Sheopurkalan APMC,291.377,Metric Tonnes,Paddy,3495.0,4280.0,4195.0,Rs./Quintal,Non-FAQ
Silvani APMC,89.046,Metric Tonnes,Basmati,4000.0,4121.0,4100.0,Rs./Quintal,FAQ
Udaipura APMC,166.26,Metric Tonnes,Paddy,3400.0,4260.0,4200.0,Rs./Quintal,FAQ
Ujjain APMC,74.63,Metric Tonnes,Paddy,3040.0,3155.0,3155.0,Rs./Quintal,FAQ
Umariya APMC,2.0500000000000003,Metric Tonnes,Dhan,1800.0,1800.0,1800.0,Rs./Quintal,Non-FAQ
Varaseoni APMC,17.576,Metric Tonnes,Pommani,2740.0,3325.0,3325.0,Rs./Quintal,FAQ
Varaseoni APMC,60.458000000000006,Metric Tonnes,Paddy,1800.0,3680.0,2830.0,Rs./Quintal,FAQ
Vidisha APMC,167.41,Metric Tonnes,Paddy,1200.0,4465.0,4201.0,Rs./Quintal,FAQ
Vidisha APMC,47.7,Metric Tonnes,Puspa (MR 301),3985.0,4000.0,4000.0,Rs./Quintal,FAQ
Vidisha APMC,193.459,Metric Tonnes,Dhan,2065.0,4470.0,4000.0,Rs./Quintal,FAQ
Total,5600.3,Metric Tonnes,,,,3686.25,Rs./Quintal,
State Name : Maharashtra
Armori APMC,159.0,Metric Tonnes,Other,2620.0,2860.0,2730.0,Rs./Quintal,FAQ
Armori(Desaiganj) APMC,7.5,Metric Tonnes,Other,2600.0,2880.0,2739.0,Rs./Quintal,FAQ
Armori(Desaiganj) APMC,10.5,Metric Tonnes,Other,1900.0,2150.0,1969.0,Rs./Quintal,Non-FAQ
Chimur APMC,12.0,Metric Tonnes,Other,2500.0,2700.0,2600.0,Rs./Quintal,FAQ
Gondiya APMC,2.5,Metric Tonnes,Other,2151.0,2151.0,2151.0,Rs./Quintal,Non-FAQ
Gondiya APMC,5.7,Metric Tonnes,Other,2600.0,2939.0,2770.0,Rs./Quintal,FAQ
Gondpimpri APMC,105.0,Metric Tonnes,Other,2775.0,2950.0,2875.0,Rs./Quintal,FAQ
Goregaon APMC,18.0,Metric Tonnes,Other,2369.0,2369.0,2369.0,Rs./Quintal,FAQ
Karjat(Raigad) APMC,15.4,Metric Tonnes,Other,2369.0,2450.0,2400.0,Rs./Quintal,FAQ
Mahad APMC,0.3,Metric Tonnes,Other,2300.0,2350.0,2325.0,Rs./Quintal,Non-FAQ
Pombhurni APMC,68.2,Metric Tonnes,Other,2670.0,2900.0,2800.0,Rs./Quintal,FAQ
Savali APMC,51.2,Metric Tonnes,Other,2750.0,2860.0,2800.0,Rs./Quintal,FAQ
Tiroda APMC,3.6,Metric Tonnes,Other,2411.0,2551.0,2481.0,Rs./Quintal,FAQ
Tiroda APMC,2.2,Metric Tonnes,Other,1801.0,1837.0,1819.0,Rs./Quintal,Non-FAQ
Total,461.1,Metric Tonnes,,,,2726.27,Rs./Quintal,
State Name : Manipur
Kakching Market APMC,1.2,Metric Tonnes,Other,2875.0,2875.0,2875.0,Rs./Quintal,Local
Lamlong Bazaar APMC,1.9,Metric Tonnes,Other,3000.0,3000.0,3000.0,Rs./Quintal,Local
Total,3.1,Metric Tonnes,,,,2951.61,Rs./Quintal,
State Name : Odisha
Karanjia APMC,0.8,Metric Tonnes,Other,2369.0,2369.0,2369.0,Rs./Quintal,FAQ
Total,0.8,Metric Tonnes,,,,2369.0,Rs./Quintal,
State Name : Pondicherry
Madagadipet APMC,2.775,Metric Tonnes,Pommani,1345.3329970000002,1745.3328970000002,1545.332947,Rs./Quintal,Grade Range-1
Thattanchavady APMC,2.1,Metric Tonnes,B P T,2118.666137,2118.666137,2118.666137,Rs./Quintal,Grade Range-1
Thattanchavady APMC,3.75,Metric Tonnes,ADT 37,1809.332881,1809.332881,1809.332881,Rs./Quintal,Grade Range-1
Thattanchavady APMC,2.1,Metric Tonnes,ADT 39,1915.9995210000002,2035.9994910000003,1915.9995210000002,Rs./Quintal,Grade Range-1
Thattanchavady APMC,0.44999999999999996,Metric Tonnes,Other,2043.9994890000003,2043.9994890000003,2043.9994890000003,Rs./Quintal,Grade Range-1
Thattanchavady APMC,0.075,Metric Tonnes,White Ponni,1718.6662370000001,1718.6662370000001,1718.6662370000001,Rs./Quintal,Grade Range-1
Total,11.25,Metric Tonnes,,,,1830.65,Rs./Quintal,
State Name : Rajasthan
Baran APMC,110.0,Metric Tonnes,Other,3300.0,3976.0,3810.0,Rs./Quintal,Local
Bundi APMC,4500.0,Metric Tonnes,Other,3150.0,4191.0,3671.0,Rs./Quintal,FAQ
Total,4610.0,Metric Tonnes,,,,3674.32,Rs./Quintal,
State Name : Tamil Nadu
Ammoor APMC,368.78,Metric Tonnes,Other,1865.0,2857.0,2361.0,Rs./Quintal,Local
Avalurpet APMC,158.18,Metric Tonnes,Other,1729.0,2853.0,2291.0,Rs./Quintal,Local
Chetpet APMC,42.53,Metric Tonnes,ADT 37,1863.0,1925.0,1894.0,Rs./Quintal,Local
Desur APMC,0.92,Metric Tonnes,Ponni,2028.0,2028.0,2028.0,Rs./Quintal,Local
Ettayapuram APMC,24.0,Metric Tonnes,Other,1600.0,1800.0,1700.0,Rs./Quintal,Local
Kadayanallur APMC,14.0,Metric Tonnes,Ponni,1100.0,1300.0,1200.0,Rs./Quintal,Local
Kothagiri APMC,2.63,Metric Tonnes,Other,2900.0,3000.0,2950.0,Rs./Quintal,Local
Madurai APMC,154.12,Metric Tonnes,Other,2450.0,2650.0,2550.0,Rs./Quintal,Local
Maduranthagam APMC,24.75,Metric Tonnes,Other,1400.0,2100.0,1750.0,Rs./Quintal,Local
Manachanallur APMC,5.0,Metric Tonnes,Ponni,1550.0,2450.0,2000.0,Rs./Quintal,Local
Pavoorchatram APMC,173.25,Metric Tonnes,Ponni,2000.0,2400.0,2200.0,Rs./Quintal,Local
Ramanathapuram APMC,658.0,Metric Tonnes,Other,1818.0,2424.0,2121.0,Rs./Quintal,Local
Sathankulam APMC,58.1,Metric Tonnes,Other,1900.0,2300.0,2100.0,Rs./Quintal,Local
Thanjavur APMC,29.25,Metric Tonnes,B P T,2400.0,2666.0,2533.0,Rs./Quintal,Local
Thenkasi APMC,178.15,Metric Tonnes,Other,1400.0,1600.0,1500.0,Rs./Quintal,Local
Tirunelvali APMC,16.8,Metric Tonnes,Other,2000.0,2600.0,2300.0,Rs./Quintal,Local
Tiruttani APMC,15.75,Metric Tonnes,Other,1800.0,2000.0,1900.0,Rs./Quintal,Local
Tiruvellore APMC,33.75,Metric Tonnes,Other,1800.0,2200.0,2000.0,Rs./Quintal,Local
Tisayanvilai APMC,37.1,Metric Tonnes,Other,1800.0,1900.0,1850.0,Rs./Quintal,Local
Vadaseri APMC,116.57,Metric Tonnes,Other,1400.0,2500.0,1950.0,Rs./Quintal,Local
Vallam APMC,6.0,Metric Tonnes,Other,2400.0,2500.0,2450.0,Rs./Quintal,Local
Total,2117.63,Metric Tonnes,,,,2131.62,Rs./Quintal,
State Name : Telangana
Dammapet APMC,45.0,Metric Tonnes,1001,2400.0,2400.0,2400.0,Rs./Quintal,FAQ
Devarakonda APMC,0.001,Metric Tonnes,MTU-1010,4200.0,4200.0,4200.0,Rs./Quintal,FAQ
Dubbak APMC,60.0,Metric Tonnes,I.R. 64,2389.0,2389.0,2389.0,Rs./Quintal,Grade Range-1
Huzzurabad APMC,0.01,Metric Tonnes,MTU-1010,2369.0,2389.0,2369.0,Rs./Quintal,FAQ
Kallur APMC,1070.1,Metric Tonnes,Paddy,2300.0,2400.0,2369.0,Rs./Quintal,FAQ
Kesamudram APMC,1.8,Metric Tonnes,Samba Masuri,2410.0,2410.0,2410.0,Rs./Quintal,FAQ
Manakodur APMC,0.001,Metric Tonnes,I.R.-64,2369.0,2369.0,2369.0,Rs./Quintal,FAQ
Sathupally APMC,224.9,Metric Tonnes,Common,2250.0,2369.0,2300.0,Rs./Quintal,Non-FAQ
Total,1401.81,Metric Tonnes,,,,2359.84,Rs./Quintal,
State Name : Uttar Pradesh
Banthara APMC,179.0,Metric Tonnes,Other,2340.0,2360.0,2350.0,Rs./Quintal,FAQ
Dataganj APMC,25.1,Metric Tonnes,Sarvati,2500.0,2600.0,2550.0,Rs./Quintal,FAQ
Fatehpur APMC,18.3,Metric Tonnes,Fine,2000.0,2010.0,2000.0,Rs./Quintal,FAQ
Lalganj APMC,108.0,Metric Tonnes,Common,2200.0,2250.0,2225.0,Rs./Quintal,FAQ
Lediyari APMC,15.5,Metric Tonnes,Common,2400.0,2500.0,2450.0,Rs./Quintal,FAQ
Panchpedwa APMC,36.5,Metric Tonnes,Paddy,2200.0,2300.0,2250.0,Rs./Quintal,FAQ
Rura APMC,400.0,Metric Tonnes,Common,1950.0,2050.0,2000.0,Rs./Quintal,FAQ
Sirsa APMC,12.0,Metric Tonnes,Common,1860.0,2380.0,2369.0,Rs./Quintal,FAQ
Sitapur APMC,265.6,Metric Tonnes,Common,1785.0,1800.0,1790.0,Rs./Quintal,Local
Tulsipur APMC,18.0,Metric Tonnes,Common,2000.0,2040.0,2030.0,Rs./Quintal,FAQ
Total,1078.0,Metric Tonnes,,,,2061.27,Rs./Quintal,
State Name : Uttarakhand
Bazpur APMC,99.9,Metric Tonnes,Common,1915.0,2021.0,1978.0,Rs./Quintal,FAQ
Gadarpur APMC,144.0,Metric Tonnes,Other,2000.0,2000.0,2000.0,Rs./Quintal,Local
Nanakmatta APMC,25.0,Metric Tonnes,Common,1850.0,1850.0,1850.0,Rs./Quintal,Local
Total,268.9,Metric Tonnes,,,,1977.88,Rs./Quintal,
State Name : West Bengal
Bankura Sadar APMC,4.0,Metric Tonnes,Common,2000.0,2400.0,2369.0,Rs./Quintal,FAQ
Birbhum APMC,57.0,Metric Tonnes,Common,2371.0,2373.0,2372.0,Rs./Quintal,FAQ
Bolpur APMC,58.0,Metric Tonnes,Common,2371.0,2373.0,2372.0,Rs./Quintal,FAQ
Ghatal APMC,13.100000000000001,Metric Tonnes,Common,2370.0,2400.0,2380.0,Rs./Quintal,Local
Indus(Bankura Sadar) APMC,3.2,Metric Tonnes,Common,2000.0,2400.0,2369.0,Rs./Quintal,FAQ
Jangipur APMC,58.45,Metric Tonnes,I.R. 36,2250.0,2350.0,2300.0,Rs./Quintal,FAQ
Kalipur APMC,3.6,Metric Tonnes,Common,2350.0,2369.0,2369.0,Rs./Quintal,FAQ
Kalipur APMC,6.6,Metric Tonnes,Fine,2920.0,2960.0,2940.0,Rs./Quintal,FAQ
Kandi APMC,10.0,Metric Tonnes,I.R. 36,2100.0,2300.0,2200.0,Rs./Quintal,FAQ
Khatra APMC,1.6,Metric Tonnes,Swarna Masuri (New),2300.0,2389.0,2369.0,Rs./Quintal,FAQ
Rampurhat APMC,25.0,Metric Tonnes,Common,2369.0,2389.0,2379.0,Rs./Quintal,FAQ
Total,240.55,Metric Tonnes,,,,2363.95,Rs./Quintal,
Grand Total,34992.35,Metric Tonnes,,,,2619.07,Rs./Quintal,
Ragi(Finger Millet) (MSP: Rs. 4886.00/Quintal)
State Name : Karnataka
Arasikere APMC,3.8000000000000003,Metric Tonnes,Local,3447.0,3447.0,3447.0,Rs./Quintal,FAQ
Bangalore APMC,55.0,Metric Tonnes,Fine,4300.0,5300.0,4800.0,Rs./Quintal,FAQ
Bangarpet APMC,81.0,Metric Tonnes,Local,6000.0,7000.0,6570.0,Rs./Quintal,Local
Chitradurga APMC,5.800000000000001,Metric Tonnes,Local,3150.0,3650.0,3389.0,Rs./Quintal,Local
Davangere APMC,316.3,Metric Tonnes,Local,2257.0,3317.0,3068.0,Rs./Quintal,Local
Gubbi APMC,3.9000000000000004,Metric Tonnes,Local,3500.0,4000.0,3600.0,Rs./Quintal,FAQ
H.B. Halli APMC,92.0,Metric Tonnes,Hybrid,3300.0,3350.0,3350.0,Rs./Quintal,FAQ
Harappana Halli APMC,582.8000000000001,Metric Tonnes,Local,3000.0,3440.0,3315.0,Rs./Quintal,Local
Haveri APMC,19.0,Metric Tonnes,Medium,3350.0,3350.0,3350.0,Rs./Quintal,Local
Hosadurga APMC,4.1000000000000005,Metric Tonnes,Local,3200.0,3600.0,3500.0,Rs./Quintal,FAQ
Kottur APMC,84.5,Metric Tonnes,Hybrid,2451.0,3565.0,3097.0,Rs./Quintal,Local
Nagamangala APMC,192.4,Metric Tonnes,Local,3600.0,4400.0,3700.0,Rs./Quintal,FAQ
Ranebennur APMC,2.7,Metric Tonnes,Local,3260.0,3400.0,3375.0,Rs./Quintal,FAQ
Sira APMC,0.5,Metric Tonnes,Local,3330.0,3330.0,3330.0,Rs./Quintal,Local
Total,1443.8,Metric Tonnes,,,,3543.36,Rs./Quintal,
State Name : Maharashtra
Pune APMC,0.2,Metric Tonnes,Other,4900.0,5500.0,5200.0,Rs./Quintal,FAQ
Total,0.2,Metric Tonnes,,,,5200.0,Rs./Quintal,
State Name : Pondicherry
Thattanchavady APMC,0.6000000000000001,Metric Tonnes,Local,2999.0,2999.0,2999.0,Rs./Quintal,FAQ
Total,0.6,Metric Tonnes,,,,2999.0,Rs./Quintal,
Grand Total,1444.6,Metric Tonnes,,,,3543.36,Rs./Quintal,
Rice
State Name : Assam
Fancy Bazaar APMC,60.0,Metric Tonnes,Common,3150.0,3950.0,3250.0,Rs./Quintal,FAQ
Fancy Bazaar APMC,55.0,Metric Tonnes,Fine,3450.0,8150.0,7450.0,Rs./Quintal,FAQ
Fancy Bazaar APMC,70.0,Metric Tonnes,Super Fine,7800.0,12000.0,11500.0,Rs./Quintal,FAQ
Total,185.0,Metric Tonnes,,,,7620.27,Rs./Quintal,
State Name : Gujarat
Dahod APMC,39.5,Metric Tonnes,Lashkari,5000.0,6000.0,5500.0,Rs./Quintal,Local
Total,39.5,Metric Tonnes,,,,5500.0,Rs./Quintal,
State Name : Karnataka
Bangarpet APMC,130.8,Metric Tonnes,Broken Rice,2000.0,2700.0,2438.0,Rs./Quintal,Local
Bangarpet APMC,7574.400000000001,Metric Tonnes,IR 20,2500.0,3200.0,2979.0,Rs./Quintal,Local
Bantwala APMC,92.0,Metric Tonnes,Other,2200.0,2800.0,2600.0,Rs./Quintal,Local
Bhadravathi APMC,288.1,Metric Tonnes,Medium,2400.0,2500.0,2400.0,Rs./Quintal,Local
Chikkamagalore APMC,38.0,Metric Tonnes,Other,2800.0,3000.0,2905.0,Rs./Quintal,Local
Davangere APMC,218.3,Metric Tonnes,Medium,2120.0,2890.0,2530.0,Rs./Quintal,Local
Hubli (Amaragol) APMC,4.2,Metric Tonnes,Medium,5550.0,5550.0,5550.0,Rs./Quintal,Local
Jamakhandi APMC,3.0,Metric Tonnes,Medium,5400.0,5400.0,5400.0,Rs./Quintal,Local
Shimoga APMC,179.60000000000002,Metric Tonnes,Coarse,2150.0,2500.0,2230.0,Rs./Quintal,Local
Sorabha APMC,38.0,Metric Tonnes,Fine,2000.0,2500.0,2000.0,Rs./Quintal,Local
Total,8566.4,Metric Tonnes,,,,2917.49,Rs./Quintal,
State Name : Kerala
Kottayam APMC,6.0,Metric Tonnes,Other,4500.0,5100.0,4800.0,Rs./Quintal,FAQ
Total,6.0,Metric Tonnes,,,,4800.0,Rs./Quintal,
State Name : Maharashtra
Alibagh APMC,1.0,Metric Tonnes,Other,2500.0,2700.0,2600.0,Rs./Quintal,Local
Kalyan APMC,0.3,Metric Tonnes,Other,3600.0,8800.0,6200.0,Rs./Quintal,Local
Karjat(Raigad) APMC,7.8,Metric Tonnes,Other,3800.0,5700.0,5100.0,Rs./Quintal,Local
Mangaon APMC,5.8,Metric Tonnes,Other,2000.0,4800.0,3800.0,Rs./Quintal,Local
Mumbai APMC,1509.6,Metric Tonnes,Other,3000.0,6000.0,4500.0,Rs./Quintal,Local
Murud APMC,1.0,Metric Tonnes,Other,2500.0,2700.0,2600.0,Rs./Quintal,Local
Nagpur APMC,10.0,Metric Tonnes,Other,6500.0,7000.0,6875.0,Rs./Quintal,Local
Palghar APMC,34.0,Metric Tonnes,1009 Kar,4550.0,4550.0,4550.0,Rs./Quintal,Local
Pune APMC,5.6,Metric Tonnes,Other,8200.0,11200.0,9700.0,Rs./Quintal,Local
Sangli APMC,26.1,Metric Tonnes,Other,3800.0,7500.0,5650.0,Rs./Quintal,Local
Solapur APMC,82.4,Metric Tonnes,Other,3410.0,6485.0,3660.0,Rs./Quintal,Local
Vasai APMC,36.5,Metric Tonnes,1009 Kar,3250.0,4250.0,3950.0,Rs./Quintal,Local
Total,1720.1,Metric Tonnes,,,,4495.71,Rs./Quintal,
State Name : Manipur
Kakching Market APMC,1.1,Metric Tonnes,Other,5000.0,5000.0,5000.0,Rs./Quintal,Local
Lamlong Bazaar APMC,1.6,Metric Tonnes,Other,5100.0,5100.0,5100.0,Rs./Quintal,Local
Total,2.7,Metric Tonnes,,,,5059.26,Rs./Quintal,
State Name : Odisha
Karanjia APMC,1.0,Metric Tonnes,Common,3400.0,3500.0,3500.0,Rs./Quintal,FAQ
Karanjia APMC,1.2000000000000002,Metric Tonnes,Other,3500.0,3600.0,3600.0,Rs./Quintal,FAQ
Udala APMC,3.0,Metric Tonnes,Other,3900.0,3900.0,3900.0,Rs./Quintal,Local
Total,5.2,Metric Tonnes,,,,3753.85,Rs./Quintal,
State Name : Tripura
Bishalgarh APMC,0.3,Metric Tonnes,Fine,4200.0,4400.0,4300.0,Rs./Quintal,Local
Bishalgarh APMC,0.4,Metric Tonnes,Masuri,3600.0,3800.0,3700.0,Rs./Quintal,Local
Dasda APMC,0.3,Metric Tonnes,Other,3200.0,3300.0,3250.0,Rs./Quintal,FAQ
Jampuijala APMC,0.1,Metric Tonnes,Fine,4000.0,4400.0,4200.0,Rs./Quintal,Grade Range-1
Kalsi APMC,0.4,Metric Tonnes,Other,3200.0,3600.0,3500.0,Rs./Quintal,FAQ
Kanchanpur,1.2000000000000002,Metric Tonnes,Sona Mansoori Non Basmati,3100.0,3300.0,3200.0,Rs./Quintal,FAQ
Nutanbazar APMC,0.8,Metric Tonnes,Masuri,3850.0,4000.0,3950.0,Rs./Quintal,FAQ
Silachhari APMC,0.1,Metric Tonnes,Other,3600.0,3800.0,3700.0,Rs./Quintal,FAQ
Total,3.6,Metric Tonnes,,,,3593.06,Rs./Quintal,
State Name : Uttar Pradesh
Anandnagar APMC,4.8,Metric Tonnes,III,3040.0,3240.0,3140.0,Rs./Quintal,FAQ
Banthara APMC,145.7,Metric Tonnes,Other,3317.0,3337.0,3327.0,Rs./Quintal,FAQ
Bharwari APMC,19.3,Metric Tonnes,Other,2400.0,2500.0,2450.0,Rs./Quintal,FAQ
Karvi APMC,21.0,Metric Tonnes,III,3100.0,3100.0,3100.0,Rs./Quintal,Grade Range-3
Kishunpur APMC,1.0,Metric Tonnes,Common,2380.0,2420.0,2400.0,Rs./Quintal,FAQ
Lalitpur APMC,55.0,Metric Tonnes,III,3170.0,3230.0,3200.0,Rs./Quintal,FAQ
Pukharayan APMC,40.0,Metric Tonnes,Common,3330.0,3350.0,3340.0,Rs./Quintal,FAQ
Rura APMC,75.0,Metric Tonnes,Other,2600.0,2650.0,2625.0,Rs./Quintal,FAQ
Tulsipur APMC,4.0,Metric Tonnes,III,2820.0,2870.0,2850.0,Rs./Quintal,FAQ
Total,365.8,Metric Tonnes,,,,3095.89,Rs./Quintal,
State Name : Uttarakhand
Bazpur APMC,39.300000000000004,Metric Tonnes,Common,2460.0,2970.0,2594.0,Rs./Quintal,FAQ
Gadarpur APMC,178.0,Metric Tonnes,Other,3220.0,3220.0,3220.0,Rs./Quintal,Local
Total,217.3,Metric Tonnes,,,,3106.78,Rs./Quintal,
State Name : West Bengal
Asansol APMC,60.2,Metric Tonnes,Fine,4675.0,4865.0,4800.0,Rs./Quintal,FAQ
Balarampur APMC,4.0,Metric Tonnes,Other,3800.0,4000.0,3900.0,Rs./Quintal,FAQ
Bankura Sadar APMC,30.0,Metric Tonnes,Common,3300.0,3450.0,3350.0,Rs./Quintal,FAQ
Baruipur(Canning) APMC,8.0,Metric Tonnes,Common,3200.0,3450.0,3350.0,Rs./Quintal,FAQ
Baruipur(Canning) APMC,7.800000000000001,Metric Tonnes,Fine,4800.0,5000.0,4900.0,Rs./Quintal,FAQ
Baxirhat APMC,15.0,Metric Tonnes,Common,3900.0,4100.0,4000.0,Rs./Quintal,FAQ
Bethuadahari APMC,6.4,Metric Tonnes,Fine,4800.0,5000.0,4900.0,Rs./Quintal,Grade Range-1
Birbhum APMC,32.0,Metric Tonnes,Common,3300.0,3450.0,3400.0,Rs./Quintal,FAQ
Bishnupur(Bankura) APMC,0.29,Metric Tonnes,Common,3600.0,3800.0,3700.0,Rs./Quintal,Local
Bishnupur(Bankura) APMC,0.26,Metric Tonnes,Fine,4500.0,4700.0,4600.0,Rs./Quintal,Grade Range-3
Bolpur APMC,31.0,Metric Tonnes,Common,3300.0,3450.0,3400.0,Rs./Quintal,FAQ
Burdwan APMC,17.0,Metric Tonnes,Common,3350.0,3500.0,3400.0,Rs./Quintal,FAQ
Burdwan APMC,23.0,Metric Tonnes,Fine,3650.0,3800.0,3700.0,Rs./Quintal,FAQ
Champadanga APMC,5.7,Metric Tonnes,Fine,4725.0,5000.0,4850.0,Rs./Quintal,FAQ
Diamond Harbour(South 24-pgs) APMC,9.5,Metric Tonnes,Common,3200.0,3400.0,3300.0,Rs./Quintal,FAQ
Diamond Harbour(South 24-pgs) APMC,8.0,Metric Tonnes,Super Fine,4800.0,5000.0,4900.0,Rs./Quintal,FAQ
Dinhata APMC,16.0,Metric Tonnes,Common,3900.0,4100.0,4000.0,Rs./Quintal,FAQ
Durgapur APMC,62.0,Metric Tonnes,Fine,4675.0,4865.0,4800.0,Rs./Quintal,FAQ
Egra/contai APMC,10.0,Metric Tonnes,Fine,3600.0,3800.0,3700.0,Rs./Quintal,FAQ
Gajol APMC,19.0,Metric Tonnes,Common,4150.0,4350.0,4250.0,Rs./Quintal,FAQ
Ghatal APMC,12.5,Metric Tonnes,Masuri,3160.0,3260.0,3200.0,Rs./Quintal,Local
Guskara APMC,11.0,Metric Tonnes,Common,3050.0,3080.0,3050.0,Rs./Quintal,FAQ
Guskara APMC,36.5,Metric Tonnes,Fine,3850.0,3920.0,3900.0,Rs./Quintal,FAQ
Haldibari APMC,15.0,Metric Tonnes,Common,3900.0,4100.0,4000.0,Rs./Quintal,FAQ
Indus(Bankura Sadar) APMC,4.6000000000000005,Metric Tonnes,Fine,4500.0,4650.0,4550.0,Rs./Quintal,FAQ
Jangipur APMC,52.25,Metric Tonnes,Common,3900.0,4000.0,3950.0,Rs./Quintal,FAQ
Kalipur APMC,10.0,Metric Tonnes,Common,3240.0,3280.0,3260.0,Rs./Quintal,FAQ
Kalipur APMC,12.0,Metric Tonnes,Fine,4880.0,4920.0,4900.0,Rs./Quintal,FAQ
Kalna APMC,38.5,Metric Tonnes,Fine,3850.0,3920.0,3900.0,Rs./Quintal,FAQ
Kalna APMC,10.5,Metric Tonnes,Other,3050.0,3080.0,3050.0,Rs./Quintal,FAQ
Kalyani APMC,6.0,Metric Tonnes,Fine,4800.0,5000.0,4900.0,Rs./Quintal,Local
Kalyani APMC,3.0,Metric Tonnes,Masuri,3300.0,3500.0,3400.0,Rs./Quintal,Local
Kalyani APMC,3.0,Metric Tonnes,Sona,4600.0,4800.0,4700.0,Rs./Quintal,Local
Kandi APMC,20.0,Metric Tonnes,Common,3400.0,3700.0,3550.0,Rs./Quintal,FAQ
Karimpur APMC,8.0,Metric Tonnes,Fine,5000.0,5100.0,5100.0,Rs./Quintal,Grade Range-1
Kasimbazar APMC,20.0,Metric Tonnes,Common,3400.0,3700.0,3550.0,Rs./Quintal,FAQ
Kasipur APMC,1.2,Metric Tonnes,Other,3500.0,3600.0,3560.0,Rs./Quintal,FAQ
Katwa APMC,20.0,Metric Tonnes,Common,3190.0,3200.0,3190.0,Rs./Quintal,FAQ
Khatra APMC,0.4,Metric Tonnes,Common,3600.0,3800.0,3700.0,Rs./Quintal,Local
Kolaghat APMC,5.0,Metric Tonnes,Common,3600.0,3800.0,3700.0,Rs./Quintal,FAQ
Kolaghat APMC,5.0,Metric Tonnes,Fine,4300.0,4500.0,4400.0,Rs./Quintal,FAQ
Lalbagh APMC,11.0,Metric Tonnes,Other,3650.0,3800.0,3700.0,Rs./Quintal,FAQ
Mathabhanga APMC,15.0,Metric Tonnes,Common,3900.0,4100.0,4000.0,Rs./Quintal,FAQ
Mekhliganj APMC,16.0,Metric Tonnes,Common,3900.0,4100.0,4000.0,Rs./Quintal,FAQ
Memari APMC,14.0,Metric Tonnes,Common,3350.0,3500.0,3400.0,Rs./Quintal,FAQ
Memari APMC,16.0,Metric Tonnes,Fine,3650.0,3800.0,3700.0,Rs./Quintal,FAQ
Pandua APMC,1.8,Metric Tonnes,Fine,4725.0,4950.0,4850.0,Rs./Quintal,FAQ
Ramkrishanpur(Howrah) APMC,0.625,Metric Tonnes,Other,3200.0,3800.0,3500.0,Rs./Quintal,FAQ
Ramkrishanpur(Howrah) APMC,0.675,Metric Tonnes,Sona Mansoori Non Basmati,2800.0,2900.0,2850.0,Rs./Quintal,FAQ
Rampurhat APMC,15.0,Metric Tonnes,Common,3200.0,3300.0,3250.0,Rs./Quintal,FAQ
